epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.22485,1.15394,0.37975,1,1.10735,0.000416792,0.000416792,0.000416792
2,4.45673,0.62225,0.59494,1,0.8087,0.000863652,0.000863652,0.000863652
3,6.53673,0.28044,0.60759,1,0.84841,0.00127907,0.00127907,0.00127907
4,8.61114,0.15499,0.65823,1,0.87987,0.00128753,0.00128753,0.00128753
5,10.7501,0.08408,0.67089,1,1.05623,0.00124037,0.00124037,0.00124037
6,12.7994,0.10296,0.67089,1,0.9506,0.00119322,0.00119322,0.00119322
7,14.8822,0.01202,0.67089,1,1.17101,0.00114606,0.00114606,0.00114606
8,16.9575,0.06649,0.64557,1,1.54426,0.0010989,0.0010989,0.0010989
9,19.0935,0.06687,0.64557,1,1.40455,0.00105174,0.00105174,0.00105174
10,21.1962,0.06777,0.63291,1,1.66334,0.00100459,0.00100459,0.00100459
11,23.3356,0.04639,0.65823,1,1.68027,0.00095743,0.00095743,0.00095743
12,25.4569,0.01214,0.65823,1,1.95807,0.000910273,0.000910273,0.000910273
13,27.5392,0.02034,0.63291,1,1.76973,0.000863116,0.000863116,0.000863116
14,29.6148,0.01418,0.65823,1,1.89972,0.000815959,0.000815959,0.000815959
15,31.6617,0.0359,0.63291,1,1.86257,0.000768802,0.000768802,0.000768802
16,33.7822,0.00869,0.65823,1,1.87047,0.000721645,0.000721645,0.000721645
17,35.8689,0.03916,0.65823,1,1.8013,0.000674488,0.000674488,0.000674488
18,37.9671,0.00798,0.65823,1,1.88087,0.000627331,0.000627331,0.000627331
19,40.0696,0.0254,0.64557,1,1.76449,0.000580174,0.000580174,0.000580174
20,42.163,0.12317,0.65823,1,1.8763,0.000533017,0.000533017,0.000533017
21,44.2636,0.01495,0.64557,1,1.74379,0.00048586,0.00048586,0.00048586
22,46.3762,0.012,0.65823,1,1.70945,0.000438703,0.000438703,0.000438703
23,48.4816,0.01046,0.64557,1,1.96838,0.000391546,0.000391546,0.000391546
24,50.6158,0.00842,0.64557,1,2.13964,0.000344389,0.000344389,0.000344389
25,52.7062,0.02195,0.63291,1,1.76519,0.000297232,0.000297232,0.000297232
26,54.7979,0.01274,0.64557,1,2.10001,0.000250075,0.000250075,0.000250075
27,56.8867,0.02209,0.64557,1,1.97079,0.000202918,0.000202918,0.000202918
28,58.9856,0.0311,0.64557,1,1.86433,0.000155761,0.000155761,0.000155761
29,61.0639,0.00297,0.65823,1,2.39502,0.000108604,0.000108604,0.000108604
30,63.1711,0.04384,0.64557,1,1.9545,6.1447e-05,6.1447e-05,6.1447e-05
