epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.17682,1.01,0.97778,1,0.63139,0.0004287,0.0004287,0.0004287
2,4.40602,0.36282,1,1,0.06781,0.000875167,0.000875167,0.000875167
3,6.43015,0.11063,1,1,0.00114,0.0012902,0.0012902,0.0012902
4,8.41421,0.03204,1,1,6e-05,0.00128753,0.00128753,0.00128753
5,10.4713,0.01036,1,1,2e-05,0.00124037,0.00124037,0.00124037
6,12.5182,0.03434,1,1,1e-05,0.00119322,0.00119322,0.00119322
7,16.8079,0.00303,1,1,2e-05,0.00114606,0.00114606,0.00114606
8,18.9566,0.0777,1,1,5e-05,0.0010989,0.0010989,0.0010989
9,20.9611,0.00758,1,1,1e-05,0.00105174,0.00105174,0.00105174
10,23.0438,0.12681,1,1,1e-05,0.00100459,0.00100459,0.00100459
11,25.1082,0.04133,1,1,2e-05,0.00095743,0.00095743,0.00095743
12,27.1765,0.02374,1,1,3e-05,0.000910273,0.000910273,0.000910273
13,29.2039,0.02358,1,1,3e-05,0.000863116,0.000863116,0.000863116
14,31.3658,0.05405,1,1,5e-05,0.000815959,0.000815959,0.000815959
15,33.3982,0.01872,1,1,3e-05,0.000768802,0.000768802,0.000768802
16,35.4518,0.07036,1,1,1e-05,0.000721645,0.000721645,0.000721645
17,37.526,0.00645,1,1,0.0001,0.000674488,0.000674488,0.000674488
18,39.5501,0.00716,1,1,0.00014,0.000627331,0.000627331,0.000627331
19,41.6491,0.00077,1,1,0.00023,0.000580174,0.000580174,0.000580174
20,43.7321,0.00223,1,1,0.00035,0.000533017,0.000533017,0.000533017
21,45.702,0.00163,1,1,0.00016,0.00048586,0.00048586,0.00048586
22,47.7681,0.05493,1,1,0.00047,0.000438703,0.000438703,0.000438703
23,49.8153,0.00145,1,1,0.00011,0.000391546,0.000391546,0.000391546
24,51.9322,0.01237,1,1,7e-05,0.000344389,0.000344389,0.000344389
25,53.9065,0.00094,1,1,9e-05,0.000297232,0.000297232,0.000297232
26,55.9552,0.00802,1,1,0.0002,0.000250075,0.000250075,0.000250075
27,57.9343,0.00112,1,1,0.00015,0.000202918,0.000202918,0.000202918
28,59.8912,0.0095,1,1,9e-05,0.000155761,0.000155761,0.000155761
29,61.8641,0.00105,1,1,4e-05,0.000108604,0.000108604,0.000108604
30,63.8797,0.01282,1,1,0.00011,6.1447e-05,6.1447e-05,6.1447e-05
